MAA|13.08,80.27,0|10-10-2011T12:00Z|Sunny|+44.67|1288.3|16
MAA|13.08,80.27,0|10-11-2011T12:00Z|Sunny|+28.17|1275.79|18
MAA|13.08,80.27,0|10-12-2011T12:00Z|Rain|+20.81|1151.74|83
MAA|13.08,80.27,0|10-13-2011T12:00Z|Rain|+20.14|1045.02|83
MAA|13.08,80.27,0|10-14-2011T12:00Z|Rain|+16.98|1158.64|60
MAA|13.08,80.27,0|10-15-2011T12:00Z|Rain|+14.54|1060.11|71
MAA|13.08,80.27,0|10-16-2011T12:00Z|Rain|+26.2|1015.35|79
MAA|13.08,80.27,0|10-17-2011T12:00Z|Rain|+12.39|1070.37|81
MAA|13.08,80.27,0|10-18-2011T12:00Z|Rain|+16.82|1008.75|76
MAA|13.08,80.27,0|10-19-2011T12:00Z|Rain|+15.59|1086.54|78
SFO|37.77,-122.41,0|10-10-2011T12:00Z|Rain|+12.13|1033.69|71
SFO|37.77,-122.41,0|10-11-2011T12:00Z|Rain|+10.95|1000.87|74
SFO|37.77,-122.41,0|10-12-2011T12:00Z|Rain|+28.65|1052.28|61
SFO|37.77,-122.41,0|10-13-2011T12:00Z|Rain|+22.15|1095.29|69
SFO|37.77,-122.41,0|10-14-2011T12:00Z|Rain|+13.97|1103.5|77
SFO|37.77,-122.41,0|10-15-2011T12:00Z|Rain|+25.13|1003.68|78
SFO|37.77,-122.41,0|10-16-2011T12:00Z|Rain|+19.29|1092.05|87
SFO|37.77,-122.41,0|10-17-2011T12:00Z|Rain|+24.1|1131.2|66
SFO|37.77,-122.41,0|10-18-2011T12:00Z|Rain|+19.47|1195.81|68
SFO|37.77,-122.41,0|10-19-2011T12:00Z|Rain|+22.38|1118.97|80
DEL|28.61,77.20,0|10-10-2011T12:00Z|Snow|-13.17|706.7|47
DEL|28.61,77.20,0|10-11-2011T12:00Z|Rain|+25.1|1028.08|62
DEL|28.61,77.20,0|10-12-2011T12:00Z|Rain|+20.02|1053.39|66
DEL|28.61,77.20,0|10-13-2011T12:00Z|Rain|+23.2|1166.02|80
DEL|28.61,77.20,0|10-14-2011T12:00Z|Rain|+29.53|1018.42|85
DEL|28.61,77.20,0|10-15-2011T12:00Z|Rain|+13.68|1178.3|67
DEL|28.61,77.20,0|10-16-2011T12:00Z|Rain|+10.23|1187.62|71
DEL|28.61,77.20,0|10-17-2011T12:00Z|Rain|+22.07|1148.07|67
DEL|28.61,77.20,0|10-18-2011T12:00Z|Rain|+15.05|1103.21|69
DEL|28.61,77.20,0|10-19-2011T12:00Z|Rain|+15.62|1136.6|89
NYC|40.71,-74.00,0|10-10-2011T12:00Z|Snow|-11.62|630.91|50
NYC|40.71,-74.00,0|10-11-2011T12:00Z|Rain|+29.52|1046.72|63
NYC|40.71,-74.00,0|10-12-2011T12:00Z|Rain|+25.71|1036.43|84
NYC|40.71,-74.00,0|10-13-2011T12:00Z|Rain|+17.41|1053.75|76
NYC|40.71,-74.00,0|10-14-2011T12:00Z|Rain|+26.82|1034.36|77
NYC|40.71,-74.00,0|10-15-2011T12:00Z|Rain|+20.08|1193.01|77
NYC|40.71,-74.00,0|10-16-2011T12:00Z|Rain|+18.19|1025.83|87
NYC|40.71,-74.00,0|10-17-2011T12:00Z|Rain|+26.78|1099.24|61
NYC|40.71,-74.00,0|10-18-2011T12:00Z|Rain|+29.88|1178.53|62
NYC|40.71,-74.00,0|10-19-2011T12:00Z|Rain|+18.1|1047.15|87
BOM|19.07,72.87,0|10-10-2011T12:00Z|Snow|-16.92|923.91|47
BOM|19.07,72.87,0|10-11-2011T12:00Z|Rain|+20.06|1151.48|71
BOM|19.07,72.87,0|10-12-2011T12:00Z|Rain|+24.29|1101.97|84
BOM|19.07,72.87,0|10-13-2011T12:00Z|Rain|+10.45|1018.75|77
BOM|19.07,72.87,0|10-14-2011T12:00Z|Rain|+14.39|1166.14|61
BOM|19.07,72.87,0|10-15-2011T12:00Z|Rain|+25.62|1108.66|66
BOM|19.07,72.87,0|10-16-2011T12:00Z|Rain|+27.8|1075.82|75
BOM|19.07,72.87,0|10-17-2011T12:00Z|Rain|+19.49|1177.07|69
BOM|19.07,72.87,0|10-18-2011T12:00Z|Rain|+16.97|1089.85|64
BOM|19.07,72.87,0|10-19-2011T12:00Z|Rain|+28.29|1037.53|80
